"Title","Author","Download_link","Download_nb","Created","Updated","Size","Game_Version","Flavor","Tags"
"Miraculous Ladybug by WikiPlays","WikiPlays55","/minecraft/mc-mods/miraculous-ladybug-by-wikiplays/download/4591208","1.3K","Jun 16, 2023","Jun 16, 2023","2.45 MB","1.20.1","Forge","Mods, Adventure and RPG, Miscellaneous, Magic, MCreator"
"The Moon - Explore with Olowar Space Industries","olowar","/minecraft/mc-mods/the-moon-mod-by-olowar/download/4920411","1.3K","Jun 16, 2023","Dec 2, 2023","7.45 MB","1.20.1","Forge","Mods, Dimensions, Magic, World Gen"
"Pug's Simple Improvements","Pugtron","/minecraft/mc-mods/pugs-simple-improvements/download/4631136","25","Jul 8, 2023","Jul 8, 2023","49.96 KB","1.19.2","Forge","Mods, Miscellaneous"
"TerraFirmaJousting","w8b40t","/minecraft/mc-mods/terrafirmajousting/download/4665936","1.4K","Jul 8, 2023","Jul 26, 2023","113.26 KB","1.18.2","Forge","Mods, Armor, Tools, and Weapons, Adventure and RPG"
"Axl Additions","imnotaxl","/minecraft/mc-mods/axl-additions/download/4711698","64","Jul 8, 2023","Aug 19, 2023","151.54 KB","1.16.5","Forge","Mods, MCreator, Ores and Resources, Armor, Tools, and Weapons"
"Carnivore Cheesecake","DragN0007","/minecraft/mc-mods/carnivore-cheesecake/download/4630895","48","Jul 8, 2023","Jul 8, 2023","39.94 KB","1.16.5","Forge","Mods, Food, Farming"
"Dragon Survival Compatibility","Cadentem","/minecraft/mc-mods/dragon-survival-compatibility/download/5075679","4.3K","Jul 7, 2023","Feb 2, 2024","211.51 KB","1.20.1","NeoForge Forge + 1","Mods, Miscellaneous"
"Recrafted: Ben 10","ATROX","/minecraft/mc-mods/recrafted-ben-10/download/4630611","3.2K","Jul 7, 2023","Jul 7, 2023","586.55 KB","1.19.4","Forge","Mods, MCreator, Armor, Tools, and Weapons, Magic"
"Primogem Craft","PepperMR","/minecraft/mc-mods/primogem-craft/download/4781118","3.8K","Jul 7, 2023","Oct 3, 2023","22.63 MB","1.20.1","Forge","Mods, MCreator"
"Music Disc Player","Fuze_Elektricity","/minecraft/mc-mods/music-disc-player/download/4630457","32","Jul 7, 2023","Jul 7, 2023","51.71 KB","1.19.4","Forge","Mods, Miscellaneous, MCreator"
"Easy Deaths","ringpro","/minecraft/mc-mods/easy-deaths/download/4637761","375","Jul 7, 2023","Jul 11, 2023","21.24 KB","1.20.1","Quilt Fabric + 1","Mods, Utility & QoL, Server Utility"
"FlyWings","Spix","/minecraft/mc-mods/flywings-mod/download/4630386","363","Jul 7, 2023","Jul 7, 2023","22.17 KB","1.8.9","Forge","Mods, Cosmetic, Magic"
"No Enchanting! [FORGE&FABRIC]","ALindd","/minecraft/mc-mods/no-enchanting-forge-fabric/download/4630325","569","Jul 7, 2023","Jul 7, 2023","20.99 KB","1.16.1","Forge","Mods, Utility & QoL, Server Utility"
"The One Probe Community Edition","xuanyu","/minecraft/mc-mods/the-one-probe-community-edition/download/5101181","13.9K","Jul 7, 2023","Feb 12, 2024","368.66 KB","1.12.2","Forge","Mods, Map and Information, API and Library"
